sample	fq1	fq2	condition
H3K27Ac1	/exports/humgen/jihed/test/SRR6320570_1.fastq	/exports/humgen/jihed/test/SRR6320570_2.fastq	treatment
H3K27Ac2	/exports/humgen/jihed/test/SRR6320547_1.fastq	/exports/humgen/jihed/test/SRR6320547_2.fastq	treatment
H3K27Ac3	/exports/humgen/jihed/test/SRR6320548_1.fastq	/exports/humgen/jihed/test/SRR6320548_2.fastq	treatment
H3K27Ac4	/exports/humgen/jihed/test/SRR6320546_1.fastq	/exports/humgen/jihed/test/SRR6320546_2.fastq	treatment
H3K27Ac5	/exports/humgen/jihed/test/SRR6320545_1.fastq	/exports/humgen/jihed/test/SRR6320545_2.fastq	treatment
H3K27Ac6	/exports/humgen/jihed/test/SRR6320543_1.fastq	/exports/humgen/jihed/test/SRR6320543_2.fastq	treatment
H3K27me3_1	/exports/humgen/jihed/test/SRR5405329_1.fastq	/exports/humgen/jihed/test/SRR5405329_2.fastq	treatment
H3K27me3_2	/exports/humgen/jihed/test/SRR5405330_1.fastq	/exports/humgen/jihed/test/SRR5405330_2.fastq	control
DNAse1_1	/exports/humgen/jihed/test/SRR5405212_1.fastq	/exports/humgen/jihed/test/SRR5405212_2.fastq	control
DNAse1_2	/exports/humgen/jihed/test/SRR5405213_1.fastq	/exports/humgen/jihed/test/SRR5405213_2.fastq	control
DNAse1_3	/exports/humgen/jihed/test/SRR5405214_1.fastq	/exports/humgen/jihed/test/SRR5405214_2.fastq	control
DNAse1_4	/exports/humgen/jihed/test/SRR5405215_1.fastq	/exports/humgen/jihed/test/SRR5405215_2.fastq	control
DNAse1_5	/exports/humgen/jihed/test/SRR5405216_1.fastq	/exports/humgen/jihed/test/SRR5405216_2.fastq	control
DNAse1_6	/exports/humgen/jihed/test/SRR5405217_1.fastq	/exports/humgen/jihed/test/SRR5405217_2.fastq	control
